parent_company,subsidiary_name,source,reason
Amazon,NV Services Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Nevada
Amazon,Amazon Europe Holding Technologies SCS.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Luxembourg
Amazon,Amazon.com.kydc LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon.com Int'l Sales Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware
Amazon,Amazon Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Nevada
Apple,Apple Asia Limited,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Hong Kong
Apple,Apple Asia LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Delaware U.S.
Apple,Apple Canada Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Canada
Apple,Apple Computer Trading (Shanghai) Co. Ltd.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — China
Apple,Apple Distribution International Limited,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Apple,Apple India Private Limited,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — India
Apple,Apple Insurance Company Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Arizona U.S.
Apple,Apple Japan Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Japan
Apple,Apple Korea Limited,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — South Korea
Apple,Apple Operations International Limited,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Apple,Apple Operations Limited,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Apple,Apple Operations Mexico S.A. de C.V.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Mexico
Apple,Apple Pty Limited,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Australia
Apple,Apple Services Pte. Ltd.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Singapore
Apple,Apple South Asia (Thailand) Limited,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Thailand
Apple,Apple South Asia Pte. Ltd.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Singapore
Apple,Apple Vietnam Limited Liability Company,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Vietnam
Apple,Braeburn Capital Inc.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Nevada U.S.
Apple,iTunes K.K.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Japan
Apple,Apple Sales International Limited,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Apple,Apple Operations Europe Limited,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Apple,Limited Liability Company Apple Rus,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Russia
Apple,Apple Europe Limited,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — United Kingdom
Apple,Apple France,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — France
Apple,Apple GmbH,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Germany
Apple,Apple Value Services LLC,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Virginia U.S.
Apple,Apple Distribution International,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Apple,Apple Operations,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Apple,Apple Operations Europe,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Apple,Apple Sales International,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Apple,Apple Operations International,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — Ireland
Meta,EX-21.1,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Document,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,META PLATFORMS INC.,SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Holdings LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Facebook Procurement LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,FCL Tech Limited (Ireland),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Instagram LLC (Delaware),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Meta Payments Inc. (Florida),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
Meta,Meta Platforms Ireland Limited (Ireland),SEC Exhibit 21.1,SEC Exhibit 21.1 subsidiary — 
