topic,rank,word,score
32,4,light sensor,0.54862
32,5,output light,0.54325
32,6,lights,0.52537
32,7,sensors light,0.52421
32,8,lighting,0.51423
32,9,corresponding light,0.50654
32,10,light source,0.49672
33,1,fuel cell,0.66252
33,2,fuel cells,0.63707
33,3,cell fuel,0.52541
33,4,power controller,0.4526
33,5,power generation,0.43733
33,6,source fuel,0.42683
33,7,power generator,0.41248
33,8,operation fuel,0.41086
33,9,design energy,0.40959
33,10,fuel,0.40696
34,1,film transistors,0.51459
34,2,film transistor,0.4713
34,3,pixels,0.44054
34,4,transistors,0.42926
34,5,display display,0.42828
34,6,photovoltaic cells,0.42341
34,7,photodetector,0.42092
34,8,photovoltaic cell,0.41878
34,9,pixels formed,0.41518
34,10,display panel,0.41024
35,1,backup power,0.6627
35,2,power grid,0.59705
35,3,grid power,0.57084
35,4,power main,0.57009
35,5,utility power,0.54359
35,6,power feed,0.51313
35,7,power center,0.51128
35,8,power distribution,0.50825
35,9,uninterruptible power,0.49981
35,10,power load,0.4975
